[2024-12-12T12:15:58.847398+09:00] request.INFO [N/A] [4da24c9] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T12:15:58.972052+09:00] front.INFO [N/A] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T12:15:59.031891+09:00] front.WARNING [9d353c1a] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T17:16:38.725370+09:00] front.INFO [b70d0639] [5c51616] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:16:38.733301+09:00] front.WARNING [b70d0639] [5c51616] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:16:51.785185+09:00] request.INFO [N/A] [7c5e311] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:16:51.791216+09:00] front.INFO [b70d0639] [7c5e311] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:16:51.797259+09:00] front.WARNING [b70d0639] [7c5e311] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:17:55.432755+09:00] request.INFO [N/A] [812669b] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:17:55.438634+09:00] front.INFO [b70d0639] [812669b] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:17:55.444550+09:00] front.WARNING [b70d0639] [812669b] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:18:36.169712+09:00] request.INFO [N/A] [3565efb] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "product_list". {"route":"product_list","route_parameters":{"_route":"product_list","_controller":"Eccube\\Controller\\ProductController::index"},"request_uri":"https://comprime-dev01.com/test_ec/products/list?category_id=1","method":"GET"} [GET, /test_ec/products/list?category_id=1, 153.156.193.191, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:18:36.178607+09:00] front.INFO [b70d0639] [3565efb] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=1, 153.156.193.191, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:20:15.796660+09:00] request.INFO [N/A] [2548918] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:20:15.803451+09:00] front.INFO [b70d0639] [2548918] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:20:15.809642+09:00] front.WARNING [b70d0639] [2548918] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:22:33.251634+09:00] request.INFO [N/A] [97b10ba] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:22:33.257678+09:00] front.INFO [b70d0639] [97b10ba] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:22:33.263649+09:00] front.WARNING [b70d0639] [97b10ba] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:31:11.663830+09:00] request.INFO [N/A] [8045078] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:31:11.671502+09:00] front.INFO [b70d0639] [8045078] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:31:11.679924+09:00] front.WARNING [b70d0639] [8045078] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:38:49.624953+09:00] request.INFO [N/A] [201657b] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:38:49.631670+09:00] front.INFO [b70d0639] [201657b] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:38:49.639877+09:00] front.WARNING [b70d0639] [201657b] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:41:41.270033+09:00] request.INFO [N/A] [06a0383] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:41:41.276572+09:00] front.INFO [b70d0639] [06a0383] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:41:41.284347+09:00] front.WARNING [b70d0639] [06a0383] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:42:50.522989+09:00] request.INFO [N/A] [39e37ec] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:33.670191+09:00] request.INFO [N/A] [407f13e] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"POST"} [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:33.685549+09:00] admin.INFO [b70d0639] [407f13e] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録開始 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:33.690502+09:00] admin.INFO [b70d0639] [407f13e] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録完了 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:33.777878+09:00] request.INFO [N/A] [9c06d22] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:39.664887+09:00] request.INFO [N/A] [e0f42ee] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"POST"} [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:39.677479+09:00] admin.INFO [b70d0639] [e0f42ee] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録開始 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
